DATE,TIME,VOLTAGE,CURRENT,PF,POWER (KW),"""WEEKEND/WEEKDAY""",SEASON,Temp (F),Humidity (%),Substation Shutdown,F1,F2,F3,F4,Jul-Oct-,Rainy,0
01-01-2021,01:00:00,11.6,102,0.96,1967,0,1,65,90,,,,,,Nov-Feb,Winter,1
,02:00:00,11.6,102,0.96,1967,0,1,65,90,,,,,,Mar-Jun,Summer,2
,03:00:00,11.6,102,0.96,1967,0,1,65,90,,,,,,,,
,04:00:00,11.3,130,0.96,2443,0,1,78,49,,,,,,Weekend,1,
,05:00:00,11.2,148,0.96,2756,0,1,78,49,,,,,,Weekday,0,
,06:00:00,11.2,172,0.96,3203,0,1,78,49,,,,,,Missing Values,66,
,07:00:00,11.5,218,0.96,4169,0,1,83,34,,,,,,,,
,08:00:00,11.2,274,0.96,5103,0,1,83,34,,,,,,,,
,09:00:00,11.2,280,0.96,5214,0,1,83,34,,,,,,,,
,10:00:00,11.5,254,0.96,4857,0,1,81,42,,,,,,,,
,11:00:00,11.5,254,0.96,4857,0,1,81,42,,,,,,,,
,12:00:00,11.5,243,0.96,4647,0,1,81,42,,,,,,,,
,13:00:00,11.6,231,0.96,4456,0,1,71,42,,,,,,,,
,14:00:00,11.8,214,0.96,4199,0,1,71,87,,,,,,,,
,15:00:00,11.8,205,0.96,4022,0,1,71,87,,,,,,,,
,16:00:00,11.7,215,0.96,4183,0,1,67,87,,,,,,,,
,17:00:00,11.5,194,0.96,3710,0,1,67,87,,,,,,,,
,18:00:00,11.7,44,0.96,856,0,1,67,87,,,,,,,,
,19:00:00,11.8,42,0.96,824,0,1,66,88,,,,,,,,
,20:00:00,11.8,39,0.96,765,0,1,66,88,,,,,,,,
,21:00:00,11.8,30,0.96,589,0,1,66,88,,,,,,,,
,22:00:00,11.8,25,0.96,491,0,1,62,89,,,,,,,,
,23:00:00,11.8,22,0.96,432,0,1,62,89,,,,,,,,
,00:00:00,11.8,21,0.96,412,0,1,62,89,,,,,,,,
02-01-2021,01:00:00,11.7,95,0.95,1829,0,1,65,90,,,,,,,,
