datetime,VOLTAGE,CURRENT,PF,POWER (KW),"""WEEKEND/WEEKDAY""",SEASON,Temp (F),Humidity (%),Substation Shutdown,F1,F2,F3,F4,Jul-Oct-,Rainy,0,datetime
2021-01-01 01:00:00,11.6,102.0,0.96,1967.0,0,1.0,66.0,90.0,,,,,,Nov-Feb,Winter,1.0,2021-01-01 01:00:00
2021-01-01 02:00:00,11.6,102.0,0.96,1967.0,0,1.0,66.0,90.0,,,,,,Mar-Jun,Summer,2.0,2021-01-01 02:00:00
2021-01-01 03:00:00,11.6,102.0,0.96,1967.0,0,1.0,66.0,90.0,,,,,,,,,2021-01-01 03:00:00
2021-01-01 04:00:00,11.3,130.0,0.96,2443.0,0,1.0,78.0,49.0,,,,,,Weekend,1,,2021-01-01 04:00:00
2021-01-01 05:00:00,11.2,148.0,0.96,2756.0,0,1.0,78.0,49.0,,,,,,Weekday,0,,2021-01-01 05:00:00
2021-01-01 06:00:00,11.2,172.0,0.96,3203.0,0,1.0,78.0,49.0,,,,,,Missing Values,66,,2021-01-01 06:00:00
2021-01-01 07:00:00,11.5,218.0,0.96,4169.0,0,1.0,83.0,34.0,,,,,,,,,2021-01-01 07:00:00
2021-01-01 08:00:00,11.2,251.0,0.96,4712.0,0,1.0,83.0,34.0,,,,,,,,,2021-01-01 08:00:00
2021-01-01 09:00:00,11.2,251.0,0.96,4712.0,0,1.0,83.0,34.0,,,,,,,,,2021-01-01 09:00:00
2021-01-01 10:00:00,11.5,251.0,0.96,4712.0,0,1.0,81.0,42.0,,,,,,,,,2021-01-01 10:00:00
2021-01-01 11:00:00,11.5,251.0,0.96,4712.0,0,1.0,81.0,42.0,,,,,,,,,2021-01-01 11:00:00
2021-01-01 12:00:00,11.5,243.0,0.96,4647.0,0,1.0,81.0,42.0,,,,,,,,,2021-01-01 12:00:00
2021-01-01 13:00:00,11.6,231.0,0.96,4456.0,0,1.0,71.0,42.0,,,,,,,,,2021-01-01 13:00:00
2021-01-01 14:00:00,11.8,214.0,0.96,4199.0,0,1.0,71.0,87.0,,,,,,,,,2021-01-01 14:00:00
2021-01-01 15:00:00,11.8,205.0,0.96,4022.0,0,1.0,71.0,87.0,,,,,,,,,2021-01-01 15:00:00
2021-01-01 16:00:00,11.7,215.0,0.96,4183.0,0,1.0,67.0,87.0,,,,,,,,,2021-01-01 16:00:00
2021-01-01 17:00:00,11.5,194.0,0.96,3710.0,0,1.0,67.0,87.0,,,,,,,,,2021-01-01 17:00:00
2021-01-01 18:00:00,11.7,44.0,0.96,856.0,0,1.0,67.0,87.0,,,,,,,,,2021-01-01 18:00:00
2021-01-01 19:00:00,11.8,42.0,0.96,824.0,0,1.0,66.0,88.0,,,,,,,,,2021-01-01 19:00:00
2021-01-01 20:00:00,11.8,40.0,0.96,765.0,0,1.0,66.0,88.0,,,,,,,,,2021-01-01 20:00:00
2021-01-01 21:00:00,11.8,40.0,0.96,757.0,0,1.0,66.0,88.0,,,,,,,,,2021-01-01 21:00:00
2021-01-01 22:00:00,11.8,40.0,0.96,757.0,0,1.0,66.0,89.0,,,,,,,,,2021-01-01 22:00:00
2021-01-01 23:00:00,11.8,40.0,0.96,757.0,0,1.0,66.0,89.0,,,,,,,,,2021-01-01 23:00:00
2021-01-01 00:00:00,11.8,40.0,0.96,757.0,0,1.0,66.0,89.0,,,,,,,,,2021-01-01 00:00:00
2021-02-01 01:00:00,11.7,95.0,0.95,1829.0,0,1.0,66.0,90.0,,,,,,,,,2021-02-01 01:00:00
2021-02-01 02:00:00,11.7,95.0,0.95,1829.0,0,1.0,66.0,90.0,,,,,,,,,2021-02-01 02:00:00
2021-02-01 03:00:00,11.7,95.0,0.95,1829.0,0,1.0,66.0,90.0,,,,,,,,,2021-02-01 03:00:00
2021-02-01 04:00:00,11.5,100.0,0.95,1892.0,0,1.0,78.0,48.0,,,,,,,,,2021-02-01 04:00:00
2021-02-01 05:00:00,11.4,135.0,0.95,2532.0,0,1.0,78.0,48.0,,,,,,,,,2021-02-01 05:00:00
2021-02-01 06:00:00,11.3,162.0,0.95,3012.0,0,1.0,78.0,48.0,,,,,,,,,2021-02-01 06:00:00
2021-02-01 07:00:00,11.5,213.0,0.95,4031.0,0,1.0,83.0,32.0,,,,,,,,,2021-02-01 07:00:00
2021-02-01 08:00:00,11.3,251.0,0.95,4712.0,0,1.0,83.0,32.0,,,,,,,,,2021-02-01 08:00:00
2021-02-01 09:00:00,11.3,251.0,0.95,4712.0,0,1.0,83.0,32.0,,,,,,,,,2021-02-01 09:00:00
2021-02-01 10:00:00,11.3,251.0,0.95,4712.0,0,1.0,80.0,38.0,,,,,,,,,2021-02-01 10:00:00
2021-02-01 11:00:00,11.5,251.0,0.95,4712.0,0,1.0,80.0,38.0,,,,,,,,,2021-02-01 11:00:00
2021-02-01 12:00:00,11.6,251.0,0.95,4712.0,0,1.0,80.0,38.0,,,,,,,,,2021-02-01 12:00:00
2021-02-01 13:00:00,11.8,221.0,0.95,4327.0,0,1.0,71.0,73.0,,,,,,,,,2021-02-01 13:00:00
2021-02-01 14:00:00,11.6,225.0,0.95,4295.0,0,1.0,71.0,73.0,,,,,,,,,2021-02-01 14:00:00
2021-02-01 15:00:00,11.7,222.0,0.95,4274.0,0,1.0,71.0,73.0,,,,,,,,,2021-02-01 15:00:00
2021-02-01 16:00:00,11.7,208.0,0.95,4004.0,0,1.0,67.0,88.0,,,,,,,,,2021-02-01 16:00:00
2021-02-01 17:00:00,11.8,190.0,0.95,3720.0,0,1.0,67.0,88.0,,,,,,,,,2021-02-01 17:00:00
2021-02-01 18:00:00,11.7,46.0,0.95,886.0,0,1.0,67.0,88.0,,,,,,,,,2021-02-01 18:00:00
2021-02-01 19:00:00,11.8,43.0,0.95,835.0,0,1.0,66.0,88.0,,,,,,,,,2021-02-01 19:00:00
2021-02-01 20:00:00,11.8,40.0,0.95,777.0,0,1.0,66.0,88.0,,,,,,,,,2021-02-01 20:00:00
2021-02-01 21:00:00,11.8,40.0,0.95,757.0,0,1.0,66.0,88.0,,,,,,,,,2021-02-01 21:00:00
2021-02-01 22:00:00,11.8,40.0,0.95,757.0,0,1.0,66.0,89.0,,,,,,,,,2021-02-01 22:00:00
2021-02-01 23:00:00,11.8,40.0,0.95,757.0,0,1.0,66.0,89.0,,,,,,,,,2021-02-01 23:00:00
2021-02-01 00:00:00,11.6,114.0,0.95,2176.0,0,1.0,66.0,89.0,,,,,,,,,2021-02-01 00:00:00
2021-03-01 01:00:00,11.8,114.0,0.96,2237.0,1,1.0,66.0,92.0,,,,,,,,,2021-03-01 01:00:00
2021-03-01 02:00:00,11.8,114.0,0.96,2237.0,1,1.0,66.0,92.0,,,,,,,,,2021-03-01 02:00:00
2021-03-01 03:00:00,11.8,120.0,0.96,2354.0,1,1.0,66.0,92.0,,,,,,,,,2021-03-01 03:00:00
2021-03-01 04:00:00,11.8,128.0,0.96,2511.0,1,1.0,77.0,52.0,,,,,,,,,2021-03-01 04:00:00
2021-03-01 05:00:00,11.8,143.0,0.96,2806.0,1,1.0,77.0,52.0,,,,,,,,,2021-03-01 05:00:00
2021-03-01 06:00:00,11.5,168.0,0.96,3212.0,1,1.0,77.0,52.0,,,,,,,,,2021-03-01 06:00:00
2021-03-01 07:00:00,11.6,233.0,0.96,4494.0,1,1.0,82.0,33.0,,,,,1.0,,,,2021-03-01 07:00:00
2021-03-01 08:00:00,11.4,251.0,0.96,4712.0,1,1.0,82.0,33.0,,,,,1.0,,,,2021-03-01 08:00:00
2021-03-01 09:00:00,11.3,251.0,0.96,4712.0,1,1.0,82.0,33.0,1.0,,,,,,,,2021-03-01 09:00:00
2021-03-01 10:00:00,11.4,251.0,0.96,4712.0,1,1.0,80.0,41.0,,,,,,,,,2021-03-01 10:00:00
2021-03-01 11:00:00,11.4,251.0,0.96,4712.0,1,1.0,80.0,41.0,,,,,,,,,2021-03-01 11:00:00
2021-03-01 12:00:00,11.7,251.0,0.96,4712.0,1,1.0,80.0,41.0,,,,,,,,,2021-03-01 12:00:00
2021-03-01 13:00:00,11.8,251.0,0.96,4712.0,1,1.0,71.0,76.0,,,,,,,,,2021-03-01 13:00:00
