datetime,POWER (KW)
2022-01-01,68077.73346694691
2022-01-02,65099.719668232065
2022-01-03,71938.63134440237
2022-01-04,71007.82736626394
2022-01-05,31648.218416801523
2022-01-06,29312.29071545294
2022-01-07,36866.819821414814
2022-01-08,67205.80257256316
2022-01-09,32218.410544040715
2022-01-10,37574.63692020222
2022-01-11,41685.047315550546
2022-01-12,39925.48288353735
2022-01-13,70351.8101535167
2022-01-14,68633.95780873815
2022-01-15,69739.73141575702
2022-01-16,72281.29015336432
2022-01-17,70272.70473341351
2022-01-18,70066.91526603348
2022-01-19,69205.70987144641
2022-01-20,68645.66253636619
2022-01-21,68832.3124828931
2022-01-22,68637.54519869272
2022-01-23,73417.98926777257
2022-01-24,68735.76572966746
2022-01-25,67739.42176460104
2022-01-26,76658.50822869201
2022-01-27,69843.94856554216
2022-01-28,69943.63576760831
2022-01-29,71250.85173539117
2022-01-30,70224.18354847551
2022-01-31,68324.18679490742
2022-02-01,68039.37316633241
2022-02-02,65836.78017884273
2022-02-03,89538.4438723158
2022-02-04,65489.197387706154
2022-02-05,32095.171547761638
2022-02-06,29485.716501028845
2022-02-07,30191.93276315833
2022-02-08,72639.85462553443
2022-02-09,47366.68626873988
2022-02-10,37761.88815226931
2022-02-11,40234.546942938134
2022-02-12,40810.016474472286
2022-02-13,81044.62776833623
2022-02-14,69889.2236327498
2022-02-15,70137.9033484632
2022-02-16,74188.46168684152
2022-02-17,74070.4718527968
2022-02-18,71757.01104893991
2022-02-19,63635.99513466867
2022-02-20,70293.4693564794
2022-02-21,73703.82671302017
2022-02-22,73998.38278148138
2022-02-23,68827.09999072576
2022-02-24,73277.3741051148
2022-02-25,77100.43579528287
2022-02-26,78092.40824375169
2022-02-27,78999.56716329967
2022-02-28,77286.24476624005
2022-03-01,71291.59685487991
2022-03-02,65044.96626114931
2022-03-03,80032.23196902573
2022-03-04,69814.64816036551
2022-03-05,26192.80045522419
2022-03-06,25719.2689234907
2022-03-07,45204.15176959535
2022-03-08,70649.04772423515
2022-03-09,44917.03866774951
2022-03-10,49552.10202311825
2022-03-11,36193.99514445719
2022-03-12,42217.260916545536
2022-03-13,94457.19954408745
2022-03-14,76337.5566005603
2022-03-15,75155.50524673132
2022-03-16,77537.30930082769
2022-03-17,75178.99596089566
2022-03-18,75251.60505884296
2022-03-19,75696.59590206131
2022-03-20,74737.51124872365
2022-03-21,72114.88480327137
2022-03-22,74149.41884177864
2022-03-23,80855.07297630316
2022-03-24,73803.69675618924
2022-03-25,77152.70280129676
2022-03-26,73177.68690304858
2022-03-27,75390.77796039086
2022-03-28,74265.8648325189
2022-03-29,73884.34601959695
2022-03-30,71046.18766687838
2022-03-31,71638.62718043943
2022-04-01,71445.87903290753
2022-04-02,66665.01651939038
2022-04-03,76538.05640355994
2022-04-04,66995.02804295991
2022-04-05,28612.887637721942
2022-04-06,25657.182305377486
2022-04-07,52917.25331127421
2022-04-08,69791.01127516532
2022-04-09,54600.365328764674
2022-04-10,51369.66597994459
2022-04-11,41154.434406786735
2022-04-12,42755.70673968528
2022-04-13,52277.96639052431
2022-04-14,28495.84036144156
2022-04-15,36535.626050051345
2022-04-16,40407.468938473365
2022-04-17,43574.69625699711
2022-04-18,43875.25303096381
2022-04-19,44349.46710714568
2022-04-20,43289.31392625377
2022-04-21,38322.906541790566
2022-04-22,28524.255202207234
2022-04-23,32088.2934512355
2022-04-24,31137.484566692656
2022-04-25,34841.11416170608
2022-04-26,35362.97995057957
2022-04-27,33815.615962498894
2022-04-28,33010.44780498308
2022-04-29,31748.08845997059
2022-04-30,31531.353981624023
2022-05-01,70964.41300460348
2022-05-02,74579.71885295452
2022-05-03,76627.16427686535
2022-05-04,66651.79235843937
2022-05-05,32380.671807480176
2022-05-06,25717.826662380816
2022-05-07,58058.870014647386
2022-05-08,76435.31409825657
2022-05-09,50544.09888156869
2022-05-10,51178.25245349853
2022-05-11,40083.16961041668
2022-05-12,44404.63895866573
2022-05-13,31957.384058396958
2022-05-14,30224.0567549329
2022-05-15,26092.430708709595
2022-05-16,27931.336164160384
2022-05-17,27104.148050266886
2022-05-18,31214.668201200126
2022-05-19,28795.71050426473
2022-05-20,31016.05351372923
2022-05-21,30100.01753984629
2022-05-22,29915.752412193615
2022-05-23,29952.56886950358
2022-05-24,30457.025908626456
2022-05-25,30765.85436469283
2022-05-26,28249.407356767464
2022-05-27,32249.21812245487
2022-05-28,31871.286699487522
2022-05-29,33442.3973283533
2022-05-30,34251.388479158035
2022-05-31,30715.899092035237
2022-06-01,67723.29275814384
2022-06-02,67039.01928017901
