datetime,POWER (KW)
2022-01-02,305210.3553836273
2022-01-09,432242.4729642579
2022-01-16,485739.0826530864
2022-01-23,490030.4643278023
2022-01-30,377267.3266453412
2022-02-06,389321.2819898077
2022-02-13,494670.98533586465
2022-02-20,526979.5601479341
2022-02-27,379132.9089471693
2022-03-06,412129.26308346115
2022-03-13,526518.7568738076
2022-03-20,530657.2715731419
2022-03-27,499654.5176630307
2022-04-03,323424.7235679074
2022-04-10,287281.1057706916
2022-04-17,256857.4840357533
2022-04-24,309394.0531033167
2022-05-01,386410.2604521303
2022-05-08,249042.61843845647
2022-05-15,205466.72990159813
2022-05-22,226194.05451941726
2022-05-29,366259.6543747421
2022-06-05,319206.95398205036
2022-06-12,197845.5984785904
2022-06-19,241268.0771933173
2022-06-26,386668.05089563376
2022-07-03,305826.76881436014
2022-07-10,337992.00450433005
2022-07-17,270097.2443517946
2022-07-24,445330.82460254565
2022-07-31,397619.61840992846
2022-08-07,386059.3265188059
2022-08-14,339531.5662364914
2022-08-21,266802.31729250174
2022-08-28,366575.2805375219
2022-09-04,310496.7773097724
2022-09-11,458514.2754968801
2022-09-18,209059.5103038085
2022-09-25,319407.94929169037
2022-10-02,301881.3479095479
2022-10-09,315838.882850906
2022-10-16,268544.52419440803
2022-10-23,295947.6082747113
2022-10-30,355240.4618024459
2022-11-06,325189.548568861
2022-11-13,207193.0979055101
2022-11-20,248417.79702958063
2022-11-27,372681.49732298683
2022-12-04,336634.5198309723
2022-12-11,425112.82943799894
2022-12-18,497712.3123652511
2022-12-25,361529.1673276283
